id_venda,data,produto,categoria,quantidade,preco_unitario,forma_pagamento,cidade
1,2026-01-02,Notebook,Eletrônicos,1,3500,Cartão,SP
2,2026-01-02,Mouse,Eletrônicos,2,80,Pix,SP
3,2026-01-03,Cadeira,Móveis,1,750,Boleto,Campinas
4,2026-01-03,Teclado,Eletrônicos,1,150,Cartão,Santos
5,2026-01-04,Monitor,Eletrônicos,2,900,Cartão,SP
6,2026-01-05,Mesa,Móveis,1,1200,Pix,Campinas
7,2026-01-06,Headset,Eletrônicos,3,200,Cartão,Sorocaba
8,2026-01-07,Notebook,Eletrônicos,1,3400,Pix,SP
9,2026-01-08,Cadeira,Móveis,2,700,Boleto,Santos
10,2026-01-09,Mouse,Eletrônicos,5,75,Cartão,SP
11,2026-01-10,Impressora,Eletrônicos,1,1100,Cartão,Campinas
12,2026-01-11,Mesa,Móveis,1,1150,Boleto,SP
13,2026-01-12,Monitor,Eletrônicos,1,950,Pix,Sorocaba
14,2026-01-13,Teclado,Eletrônicos,4,140,Cartão,SP
15,2026-01-14,Cadeira,Móveis,1,780,Cartão,Santos
16,2026-01-15,Notebook,Eletrônicos,1,3600,Boleto,Campinas
17,2026-01-16,Headset,Eletrônicos,2,210,Pix,SP
18,2026-01-17,Mesa,Móveis,1,1250,Cartão,Sorocaba
19,2026-01-18,Monitor,Eletrônicos,2,880,Cartão,SP
20,2026-01-19,Mouse,Eletrônicos,3,85,Pix,Campinas
21,2026-01-20,Cadeira,Móveis,1,720,Boleto,SP
22,2026-01-21,Notebook,Eletrônicos,1,3550,Cartão,Santos
23,2026-01-22,Teclado,Eletrônicos,2,160,Pix,SP
24,2026-01-23,Mesa,Móveis,1,1180,Cartão,Campinas
25,2026-01-24,Monitor,Eletrônicos,1,910,Boleto,Sorocaba
26,2026-01-25,Headset,Eletrônicos,1,220,Cartão,SP
27,2026-01-26,Cadeira,Móveis,2,760,Pix,Campinas
28,2026-01-27,Notebook,Eletrônicos,1,3450,Cartão,SP
29,2026-01-28,Mouse,Eletrônicos,4,90,Boleto,Santos
30,2026-01-29,Mesa,Móveis,1,1300,Pix,SP